titre;date;valo;prix_arrondi;ecart_prix_arrondi_valo;source_prix_arrondi;source_ecart;profil_metier
9703;26/03/2026;98971.47;98971.47;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/OBL;FIX/ZC/AN/AN/R/R/OBL
9625;26/03/2026;103192.87;103192.87;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/360/OBL;REV/AA/AN/FIN/R/360/OBL
100969;26/03/2026;101318.65;101317.01;-1.64;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
100979;26/03/2026;100326.07;100314.09;-11.98;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
9705;26/03/2026;102129.38;102129.38;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/360/OBL;REV/AA/AN/FIN/R/360/OBL
100995;26/03/2026;101114.68;101114.68;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/BSF;FIX/ZC/AN/AN/R/R/BSF
9765;26/03/2026;97645.12;97366.89;-278.23;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/OBL;FIX/AA/AN/FIN/R/R/OBL
153016;26/03/2026;104559.6;104559.6;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/CD;FIX/AA/AN/FIN/R/R/CD
101011;26/03/2026;99714.88;99688.91;-25.97;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
101001;26/03/2026;101233.67;101233.67;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
201840;26/03/2026;103527.52;103497.1;-30.42;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BDT;FIX/AA/AN/FIN/R/R/BDT
9643;26/03/2026;100691.02;100691.02;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/360/ORD;REV/AA/AN/FIN/R/360/ORD
5166;26/03/2026;100558.6;100538.53;-20.07;table Valorisation;a corriger (table Valorisation) | REV/ZC/TRI/TRI/R/360/FPCT;REV/ZC/TRI/TRI/R/360/FPCT
152364;26/03/2026;102174.74;102174.74;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/CD;FIX/AA/AN/FIN/R/R/CD
153155;26/03/2026;100055.47;100043.46;-12.01;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/CD;FIX/AA/AN/FIN/R/R/CD
100970;26/03/2026;104603.08;104599.23;-3.85;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
201848;26/03/2026;102484.53;102484.2;-0.33;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BDT;FIX/AA/AN/FIN/R/R/BDT
9697;26/03/2026;103848.32;103848.32;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/AN/R/R/OBL;REV/AA/AN/AN/R/R/OBL
100963;26/03/2026;101654.17;101652.62;-1.55;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
9757;26/03/2026;100069.78;100069.78;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/TRI/FIN/R/360/OBL;REV/AA/TRI/FIN/R/360/OBL
9708;26/03/2026;102018.96;102018.96;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/AN/R/360/OBL;REV/AA/AN/AN/R/360/OBL
9692;26/03/2026;101539.93;101539.93;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/OBL;FIX/AA/AN/FIN/R/R/OBL
141174;26/03/2026;102686.71;102686.71;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/360/BT;FIX/AA/AN/FIN/R/360/BT
9685;26/03/2026;88261.26;88261.26;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/SEM/SEM/R/360/ORD;REV/AA/SEM/SEM/R/360/ORD
100971;26/03/2026;100890.74;100889.05;-1.69;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
101006;26/03/2026;100577.68;100577.68;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/BSF;FIX/ZC/AN/AN/R/R/BSF
101012;26/03/2026;100323.66;100314.12;-9.54;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
101023;26/03/2026;99320.48;99282.3;-38.18;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
9627;26/03/2026;102034.72;102034.99;0.27;table Valorisation;a corriger (table Valorisation) | REV/AA/AN/AN/R/R/OBL;REV/AA/AN/AN/R/R/OBL
9607;26/03/2026;105521.74;105504.68;-17.06;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
9626;26/03/2026;104558.79;104558.79;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/OBL;FIX/ZC/AN/AN/R/R/OBL
100937;26/03/2026;69225.81;69225.81;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/BSF;FIX/ZC/AN/AN/R/R/BSF
101021;26/03/2026;100594.51;100592.87;-1.64;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
201926;26/03/2026;100398.42;100394.93;-3.49;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BDT;FIX/AA/AN/FIN/R/R/BDT
201892;26/03/2026;102963.31;102963.31;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/BDT;FIX/AA/AN/FIN/R/R/BDT
9651;26/03/2026;101096.33;101096.31;-0.02;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/OBL;FIX/ZC/AN/AN/R/R/OBL
9735;26/03/2026;97915.66;97662.92;-252.74;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
152235;26/03/2026;103146.71;103146.71;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/CD;FIX/AA/AN/FIN/R/R/CD
152951;26/03/2026;103040.19;103040.19;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/CD;FIX/AA/AN/FIN/R/R/CD
201835;26/03/2026;103005.76;103005.76;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/BDT;FIX/AA/AN/FIN/R/R/BDT
141187;26/03/2026;100053.53;100053.53;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/SEM/FIN/R/360/BT;FIX/AA/SEM/FIN/R/360/BT
201898;26/03/2026;99294.36;97949.26;-1345.1;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BDT;FIX/AA/AN/FIN/R/R/BDT
9689;26/03/2026;100051.14;100051.14;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/TRI/FIN/R/360/OBL;REV/AA/TRI/FIN/R/360/OBL
100999;26/03/2026;99491.02;99448.09;-42.93;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
9752;26/03/2026;97737.44;96423.43;-1314.01;table Valorisation;a corriger (table Valorisation) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
201236;26/03/2026;108958.5;108951.36;-7.14;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BDT;FIX/AA/AN/FIN/R/R/BDT
9614;26/03/2026;107048.07;106872.08;-175.99;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/OBL;FIX/AA/AN/FIN/R/R/OBL
9411;26/03/2026;103014.78;103015.42;0.64;table Valorisation;a corriger (table Valorisation) | FIX/ZC/AN/AN/R/R/ORD;FIX/ZC/AN/AN/R/R/ORD
9424;26/03/2026;75571.47;75571.53;0.06;table Valorisation;a corriger (table Valorisation) | FIX/ZC/AN/AN/R/R/OBL;FIX/ZC/AN/AN/R/R/OBL
9394;26/03/2026;108707.02;108705.67;-1.35;table Valorisation;a corriger (table Valorisation) | FIX/ZC/AN/AN/R/R/ORD;FIX/ZC/AN/AN/R/R/ORD
2185;26/03/2026;104575.32;104571.24;-4.08;table Valorisation;a corriger (table Valorisation) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
5129;26/03/2026;105326.14;105231.28;-94.86;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/FPCT;FIX/AA/AN/FIN/R/R/FPCT
9070;26/03/2026;101775.64;101775.64;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9087;26/03/2026;103329.18;103329.18;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9149;26/03/2026;6830.1;6830.1;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/ORD;FIX/ZC/AN/AN/R/R/ORD
9167;26/03/2026;106156.15;106156.15;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
9253;26/03/2026;112498.6;112247.61;-250.99;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
9285;26/03/2026;102927.82;102927.82;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
9300;26/03/2026;100760.88;100760.88;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9302;26/03/2026;100789.09;100789.09;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9307;26/03/2026;100960.41;100960.41;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9313;26/03/2026;104874.4;104475.28;-399.12;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
9329;26/03/2026;106232.85;106232.85;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
9345;26/03/2026;20227.79;20227.79;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/AN/R/R/ORD;REV/AA/AN/AN/R/R/ORD
9346;26/03/2026;20448.9;20448.9;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/ORD;FIX/ZC/AN/AN/R/R/ORD
9352;26/03/2026;100789.64;100789.64;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9360;26/03/2026;101858.38;101854.89;-3.49;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
9362;26/03/2026;102495.52;102495.52;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9363;26/03/2026;106940.63;106940.63;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9369;26/03/2026;104116.89;104110.41;-6.48;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
9385;26/03/2026;102601.61;102588.65;-12.96;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/OBL;FIX/AA/AN/FIN/R/R/OBL
9388;26/03/2026;100681.18;100681.18;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/R/OBL;REV/AA/AN/FIN/R/R/OBL
9389;26/03/2026;102921.62;102908.96;-12.66;table Valorisation;a corriger (table Valorisation) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9390;26/03/2026;101024.82;101024.82;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/R/OBL;REV/AA/AN/FIN/R/R/OBL
9396;26/03/2026;40910.43;40910.43;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/AN/R/360/ORD;REV/AA/AN/AN/R/360/ORD
9397;26/03/2026;102154.43;102154.43;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/FIN/R/R/OBL;REV/AA/AN/FIN/R/R/OBL
9398;26/03/2026;104394.34;104373.83;-20.51;table Valorisation;a corriger (table Valorisation) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9399;26/03/2026;103401.11;103401.37;0.26;table Valorisation;a corriger (table Valorisation) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9408;26/03/2026;101997.85;101969.46;-28.39;table Valorisation;a corriger (table Valorisation) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
9425;26/03/2026;100092.07;100057.58;-34.49;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
9428;26/03/2026;100569.87;100536.81;-33.06;table Valorisation;a corriger (table Valorisation) | REV/AA/AN/FIN/R/R/ORD;REV/AA/AN/FIN/R/R/ORD
