code,valo_260326,prix_arrondi_260326,ecart_260326,profil_260326,source_prix_260326,source_ecart_260326,valo_260306,prix_arrondi_260306,ecart_260306,profil_260306,source_prix_260306,source_ecart_260306,delta_ecart_premier_vs_second,note
100984,103416.540000,103416.540000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",103360.320000,103360.320000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100985,102726.810000,102726.810000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",102816.270000,102816.270000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100986,102718.030000,102718.030000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",102807.850000,102807.850000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100987,102777.660000,102777.660000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",102698.420000,102698.420000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100988,101897.020000,101897.020000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",102591.790000,102591.790000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100992,101865.150000,101865.150000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101812.290000,101812.290000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100993,101089.850000,101089.850000,0.000000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/ZC/AN/AN/R/R/BSF",101312.390000,101312.100000,-0.290000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,a corriger (table Valorisation) | FIX/ZC/AN/AN/R/R/BSF,-0.290000,OK ref_date | ecart autre date
100994,101514.100000,101514.100000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101474.450000,101474.450000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100995,101114.680000,101114.670000,-0.010000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/ZC/AN/AN/R/R/BSF",101339.730000,101339.480000,-0.250000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,a corriger (table Valorisation) | FIX/ZC/AN/AN/R/R/BSF,-0.240000,OK ref_date | ecart autre date
100996,101486.870000,101486.870000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101639.680000,101639.680000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100997,101723.700000,101723.700000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101685.690000,101685.690000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100998,100978.210000,100978.210000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101140.460000,101140.460000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100999,99491.020000,99491.020000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100280.740000,100280.740000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
