valuation_date,code,valo_manar
2026-03-06,9639,101049.090000
2026-03-06,9642,100688.590000
2026-03-06,9643,100596.650000
2026-03-06,9644,103469.150000
2026-03-06,9647,107393.200000
2026-03-06,9651,101695.090000
2026-03-06,9652,100488.560000
2026-03-06,9653,100516.460000
2026-03-06,9654,102198.280000
2026-03-06,9660,100724.900000
2026-03-06,9677,100631.200000
2026-03-06,9684,100706.270000
2026-03-06,9685,88129.010000
2026-03-06,9686,101690.420000
2026-03-06,9689,100608.270000
2026-03-06,9690,100586.930000
2026-03-06,9691,99969.290000
2026-03-06,9692,101517.270000
2026-03-06,9697,103568.910000
2026-03-06,9700,101903.550000
2026-03-06,9702,101927.040000
2026-03-06,9703,100666.440000
2026-03-06,9704,101174.160000
2026-03-06,9705,101977.270000
2026-03-06,9707,101293.390000
2026-03-06,9708,101875.370000
2026-03-06,9714,101034.950000
2026-03-06,9735,99647.680000
2026-03-06,9743,100024.310000
2026-03-06,9744,100893.880000
2026-03-06,9747,100661.020000
2026-03-06,9748,100.510000
2026-03-06,9750,100495.440000
2026-03-06,9752,97927.780000
2026-03-06,9753,98529.670000
2026-03-06,9754,100863.810000
2026-03-06,9755,100602.000000
2026-03-06,9756,100623.910000
2026-03-06,9757,100645.820000
2026-03-06,9758,100545.010000
2026-03-06,9764,100712.320000
2026-03-06,9765,99458.710000
2026-01-02,2151,6765.28
2026-01-02,5061,77872.12
2026-01-02,5106,32587.5
2026-01-02,5107,101095.08
2026-01-02,5116,56196.48
2026-01-02,5117,83134.41
2026-01-02,5122,43713.34
2026-01-02,5151,100079.32
2026-01-02,9070,100868.61
2026-01-02,9302,100131.18
2026-01-02,9307,100149.01
2026-01-02,9346,20350.5
2026-01-02,9351,47815.06
2026-01-02,9363,108406.93
2026-01-02,9395,62118.13
2026-01-02,9402,61717.21
2026-01-02,9411,104984.22
2026-01-02,9424,76539.99
2026-01-02,9452,51183.09
2026-01-02,9473,68853.57
2026-01-02,9487,75296.68
2026-01-02,9488,100111.58
2026-01-02,9502,20273.69
2026-01-02,9518,72224.06
2026-01-02,9524,99764.18
2026-01-02,9538,12523.25
