code,date_valo,prix_manar,prix_moteur_sql,ecart,abs_ecart,classification_finale,meilleur_scenario,reduction_pct,reste_apres_choc,type_titre,methode_valo,cause_probable
9538,2026-01-02,12523.25,12521.5764,1.6736000000000786,1.6736000000000786,Probablement pas courbe seule,pil_prog_inf_CT_136m1,27.6530,1.210800,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-1.6736). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9572,2026-01-02,104551.74,104551.7428,-0.0028000000020256266,0.0028000000020256266,Dans la tolérance (sensibilité),base_sql,0.0000,-0.002800,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9576,2026-01-02,104162.36,104162.3647,-0.004700000004959293,0.004700000004959293,Dans la tolérance (sensibilité),base_sql,0.0000,-0.004700,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9580,2026-01-02,16699.36,16698.498,0.8620000000009895,0.8620000000009895,Probablement pas courbe seule,pil_prog_inf_CT_136m1,30.3596,0.600300,amort/ATP,AA,Écart Manar hors tolérance (-0.8620). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9626,2026-01-02,104924.94,104924.8495,0.09050000000570435,0.09050000000570435,Probablement pas courbe seule,base_sql,0.0000,0.090500,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.0905). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9686,2026-01-02,101349.82,101349.6977,0.12230000000272412,0.12230000000272412,Probablement pas courbe seule,base_sql,0.0000,0.122300,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.1223). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9689,2026-01-02,100126.39,100126.3856,0.0044000000052619725,0.0044000000052619725,Dans la tolérance (sensibilité),base_sql,0.0000,0.004400,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9690,2026-01-02,100122.54,100122.5449,-0.004899999999906868,0.004899999999906868,Dans la tolérance (sensibilité),base_sql,0.0000,-0.004900,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9703,2026-01-02,100802.09,100801.9942,0.09579999999550637,0.09579999999550637,Partiellement courbe,G2_joint_moins1bp,64.8225,-0.033700,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.0958). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9707,2026-01-02,101330.95,101330.8676,0.08239999999932479,0.08239999999932479,Partiellement courbe,G2_joint_moins1bp,61.4078,-0.031800,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.0824). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
